"","...1","Invoice","StockCode","Description","Quantity","InvoiceDate","Price","Customer.ID","Country","Revenue","dayDifference","month","week","year","day","weekday"
"4892",4892,544790,"22722","SET OF 6 SPICE TINS PANTRY DESIGN",1,2011-02-23,3.95,"16940","United Kingdom",3.95,5364,"Feb",8,2011,23,"Wednesday"
"4893",4893,577697,"84832","ZINC WILLIE WINKIE  CANDLE STICK",12,2011-11-21,0.85,"15804","United Kingdom",10.2,5093,"Nov",47,2011,21,"Monday"
"4894",4894,511125,"47597","NEW ENGLAND TEATOWELS",3,2010-06-07,2.55,"15958","United Kingdom",7.65,5625,"Jun",23,2010,7,"Monday"
"4895",4895,559745,"23152","IVORY SWEETHEART WIRE LETTER RACK",2,2011-07-12,3.75,"17790","United Kingdom",7.5,5225,"Jul",28,2011,12,"Tuesday"
"4896",4896,571187,"23237","SET OF 4 KNICK KNACK TINS LEAF",6,2011-10-14,4.15,"12380","Belgium",24.9,5131,"Oct",41,2011,14,"Friday"
"4897",4897,511113,"21590","KINGS CHOICE CIGAR BOX MATCHES",24,2010-06-07,1.25,"14309","United Kingdom",30,5625,"Jun",23,2010,7,"Monday"
"4898",4898,524099,"21531","RED RETROSPOT SUGAR JAM BOWL",3,2010-09-27,2.55,"13448","United Kingdom",7.65,5513,"Sep",39,2010,27,"Monday"
"4899",4899,497628,"85099C","JUMBO  BAG BAROQUE BLACK WHITE",1,2010-02-11,1.95,"15005","United Kingdom",1.95,5741,"Feb",6,2010,11,"Thursday"
"4900",4900,512120,"21100","CHARLIE AND LOLA CHARLOTTE BAG",4,2010-06-13,1.65,"14581","United Kingdom",6.6,5619,"Jun",24,2010,13,"Sunday"
"4901",4901,559353,"84968C","SET OF 16 VINTAGE PISTACHIO CUTLERY",5,2011-07-07,12.75,"13302","United Kingdom",63.75,5230,"Jul",27,2011,7,"Thursday"
"4902",4902,546243,"21257","VICTORIAN SEWING BOX MEDIUM",2,2011-03-10,7.95,"15308","United Kingdom",15.9,5349,"Mar",10,2011,10,"Thursday"
"4903",4903,566962,"84519B","CARROT CHARLIE+LOLA COASTER SET",1,2011-09-15,1.25,"16764","United Kingdom",1.25,5160,"Sep",37,2011,15,"Thursday"
"4904",4904,539840,"22489","PACK OF 12 TRADITIONAL CRAYONS",24,2010-12-22,0.42,"12383","Belgium",10.08,5427,"Dec",51,2010,22,"Wednesday"
"4905",4905,523893,"22910","PAPER CHAIN KIT VINTAGE CHRISTMAS",12,2010-09-24,2.95,"13381","United Kingdom",35.4,5516,"Sep",39,2010,24,"Friday"
"4906",4906,533280,"21977","PACK OF 60 PINK PAISLEY CAKE CASES",360,2010-11-16,0.42,"15523","United Kingdom",151.2,5463,"Nov",46,2010,16,"Tuesday"
"4907",4907,527614,"21479","WHITE SKULL HOT WATER BOTTLE",4,2010-10-18,3.75,"13152","United Kingdom",15,5492,"Oct",42,2010,18,"Monday"
"4908",4908,500181,"16202C","BEIGE PHOTO ALBUM",1,2010-03-05,5.55,"14957","United Kingdom",5.55,5719,"Mar",10,2010,5,"Friday"
"4909",4909,570126,"22465","HANGING METAL STAR LANTERN",2,2011-10-07,1.65,"16910","United Kingdom",3.3,5138,"Oct",40,2011,7,"Friday"
"4910",4910,556045,"22993","SET OF 4 PANTRY JELLY MOULDS",12,2011-06-08,1.25,"15764","United Kingdom",15,5259,"Jun",23,2011,8,"Wednesday"
"4911",4911,566312,"23397","FOOT STOOL HOME SWEET HOME",2,2011-09-12,9.95,"16150","United Kingdom",19.9,5163,"Sep",37,2011,12,"Monday"
"4912",4912,543997,"22968","ROSE COTTAGE KEEPSAKE BOX",1,2011-02-15,9.95,"17348","United Kingdom",9.95,5372,"Feb",7,2011,15,"Tuesday"
"4913",4913,542399,"22967","SET 3 SONG BIRD PAPER EGGS ASSORTED",3,2011-01-27,2.95,"15549","United Kingdom",8.85,5391,"Jan",4,2011,27,"Thursday"
"4914",4914,537772,"21080","SET/20 RED RETROSPOT PAPER NAPKINS",2,2010-12-08,0.85,"18043","United Kingdom",1.7,5441,"Dec",49,2010,8,"Wednesday"
"4915",4915,567182,"20970","PINK FLORAL FELTCRAFT SHOULDER BAG",3,2011-09-18,3.75,"13334","United Kingdom",11.25,5157,"Sep",38,2011,18,"Sunday"
"4916",4916,497501,"21754","HOME BUILDING BLOCK WORD",3,2010-02-10,5.95,"14606","United Kingdom",17.85,5742,"Feb",6,2010,10,"Wednesday"
"4917",4917,540278,"85099B","JUMBO BAG RED RETROSPOT",13,2011-01-06,1.95,"15719","United Kingdom",25.35,5412,"Jan",1,2011,6,"Thursday"
"4918",4918,509635,"15036","ASSORTED COLOURS SILK FAN",12,2010-05-25,0.75,"17496","United Kingdom",9,5638,"May",21,2010,25,"Tuesday"
"4919",4919,560255,"22083","PAPER CHAIN KIT RETROSPOT",10,2011-07-17,2.95,"16054","United Kingdom",29.5,5220,"Jul",29,2011,17,"Sunday"
"4920",4920,522082,"21316","SMALL CHUNKY GLASS ROMAN  BOWL",3,2010-09-12,2.95,"16608","United Kingdom",8.85,5528,"Sep",37,2010,12,"Sunday"
"4921",4921,548732,"22193","RED DINER WALL CLOCK",2,2011-04-04,8.5,"16142","United Kingdom",17,5324,"Apr",14,2011,4,"Monday"
"4922",4922,569968,"85152","HAND OVER THE CHOCOLATE   SIGN",2,2011-10-06,2.1,"17921","United Kingdom",4.2,5139,"Oct",40,2011,6,"Thursday"
"4923",4923,552277,"22333","RETROSPOT PARTY BAG + STICKER SET",1,2011-05-08,1.65,"13642","United Kingdom",1.65,5290,"May",19,2011,8,"Sunday"
"4924",4924,502617,"21200","MULTICOLOUR HONEYCOMB PAPER GARLAND",12,2010-03-25,1.65,"15027","United Kingdom",19.8,5699,"Mar",12,2010,25,"Thursday"
"4925",4925,511325,"21648","ASSORTED TUTTI FRUTTI SMALL PURSE",24,2010-06-08,1.25,"13771","United Kingdom",30,5624,"Jun",23,2010,8,"Tuesday"
"4926",4926,498610,"22191","EAU DE NIL DINER WALL CLOCK",2,2010-02-22,8.5,"13393","United Kingdom",17,5730,"Feb",8,2010,22,"Monday"
"4927",4927,580611,"85023B","EAU DE NILE JEWELLED PHOTOFRAME",1,2011-12-05,2.55,"12748","United Kingdom",2.55,5079,"Dec",49,2011,5,"Monday"
"4928",4928,577491,"21264","WHITE GOOSE FEATHER TREE 60CM",1,2011-11-20,1.95,"14595","United Kingdom",1.95,5094,"Nov",47,2011,20,"Sunday"
"4929",4929,533381,"47369B","BLUE GREEN EMBROIDERY COSMETIC BAG",1,2010-11-17,2.95,"14417","United Kingdom",2.95,5462,"Nov",46,2010,17,"Wednesday"
"4930",4930,557636,"21984","PACK OF 12 PINK PAISLEY TISSUES",4,2011-06-21,0.29,"17841","United Kingdom",1.16,5246,"Jun",25,2011,21,"Tuesday"
"4931",4931,526108,"47599B","BLUE PARTY BAGS",3,2010-10-08,2.1,"14904","United Kingdom",6.3,5502,"Oct",41,2010,8,"Friday"
"4932",4932,490048,"85173","SET/6 FROG PRINCE T-LIGHT CANDLES",48,2009-12-03,2.1,"16779","United Kingdom",100.8,5811,"Dec",49,2009,3,"Thursday"
"4933",4933,521393,"21531","RED RETROSPOT SUGAR JAM BOWL",6,2010-09-05,2.55,"14194","United Kingdom",15.3,5535,"Sep",36,2010,5,"Sunday"
"4934",4934,535661,"22556","PLASTERS IN TIN CIRCUS PARADE",1,2010-11-28,1.65,"13069","United Kingdom",1.65,5451,"Nov",48,2010,28,"Sunday"
"4935",4935,530301,"22457","NATURAL SLATE HEART CHALKBOARD",72,2010-11-02,2.55,"15245","United Kingdom",183.6,5477,"Nov",44,2010,2,"Tuesday"
"4936",4936,539374,"22862","LOVE HEART NAPKIN BOX",4,2010-12-17,4.25,"14769","United Kingdom",17,5432,"Dec",51,2010,17,"Friday"
"4937",4937,546003,"22678","FRENCH BLUE METAL DOOR SIGN 3",2,2011-03-08,1.25,"16712","United Kingdom",2.5,5351,"Mar",10,2011,8,"Tuesday"
"4938",4938,536637,"85135B","BLUE DRAGONFLY HELICOPTER",1,2010-12-02,7.95,"18041","United Kingdom",7.95,5447,"Dec",48,2010,2,"Thursday"
"4939",4939,579553,"84347","ROTATING SILVER ANGELS T-LIGHT HLDR",36,2011-11-30,2.55,"14156","EIRE",91.8,5084,"Nov",48,2011,30,"Wednesday"
"4940",4940,562947,"23328","SET 6 SCHOOL MILK BOTTLES IN CRATE",4,2011-08-11,3.75,"15987","United Kingdom",15,5195,"Aug",32,2011,11,"Thursday"
"4941",4941,511564,"48185","DOOR MAT FAIRY CAKE",2,2010-06-09,7.49,"18231","United Kingdom",14.98,5623,"Jun",23,2010,9,"Wednesday"
"4942",4942,504569,"47570","ENGLISH ROSE TABLE CLOTH",2,2010-04-14,10.65,"17146","United Kingdom",21.3,5679,"Apr",15,2010,14,"Wednesday"
"4943",4943,505522,"22128","PARTY CONES CANDY ASSORTED",24,2010-04-22,1.25,"14911","EIRE",30,5671,"Apr",16,2010,22,"Thursday"
"4944",4944,534066,"22274","FELTCRAFT DOLL EMILY",1,2010-11-21,2.95,"17920","United Kingdom",2.95,5458,"Nov",47,2010,21,"Sunday"
"4945",4945,549978,"21754","HOME BUILDING BLOCK WORD",6,2011-04-13,5.95,"14834","United Kingdom",35.7,5315,"Apr",15,2011,13,"Wednesday"
"4946",4946,566008,"85071A","BLUE CHARLIE+LOLA PERSONAL DOORSIGN",4,2011-09-08,0.39,"16426","United Kingdom",1.56,5167,"Sep",36,2011,8,"Thursday"
"4947",4947,543602,"22776","SWEETHEART CAKESTAND 3 TIER",1,2011-02-10,9.95,"15570","United Kingdom",9.95,5377,"Feb",6,2011,10,"Thursday"
"4948",4948,574943,"21992","VINTAGE PAISLEY STATIONERY SET",12,2011-11-08,1.25,"13026","United Kingdom",15,5106,"Nov",45,2011,8,"Tuesday"
"4949",4949,555002,"23192","BUNDLE OF 3 ALPHABET EXERCISE BOOKS",12,2011-05-31,1.65,"17682","United Kingdom",19.8,5267,"May",22,2011,31,"Tuesday"
"4950",4950,516962,"21609","SET 12 LAVENDER  BOTANICAL T-LIGHTS",6,2010-07-26,2.95,"12476","Germany",17.7,5576,"Jul",30,2010,26,"Monday"
"4951",4951,522904,"84313B","BLUE TV TRAY TABLE",1,2010-09-17,4.25,"17765","United Kingdom",4.25,5523,"Sep",38,2010,17,"Friday"
"4952",4952,563555,"23300","GARDENERS KNEELING PAD CUP OF TEA",1,2011-08-17,1.65,"16755","United Kingdom",1.65,5189,"Aug",33,2011,17,"Wednesday"
"4953",4953,579138,"22151","PLACE SETTING WHITE HEART",48,2011-11-28,0.42,"13590","United Kingdom",20.16,5086,"Nov",48,2011,28,"Monday"
"4954",4954,542429,"22382","LUNCH BAG SPACEBOY DESIGN",10,2011-01-28,1.65,"13330","United Kingdom",16.5,5390,"Jan",4,2011,28,"Friday"
"4955",4955,544826,"22189","CREAM HEART CARD HOLDER",1,2011-02-24,3.95,"14513","United Kingdom",3.95,5363,"Feb",8,2011,24,"Thursday"
"4956",4956,530299,"22551","PLASTERS IN TIN SPACEBOY",1,2010-11-02,1.65,"14449","United Kingdom",1.65,5477,"Nov",44,2010,2,"Tuesday"
"4957",4957,540278,"22834","HAND WARMER BABUSHKA DESIGN",2,2011-01-06,2.1,"15719","United Kingdom",4.2,5412,"Jan",1,2011,6,"Thursday"
"4958",4958,520707,"21364","PEACE SMALL WOOD LETTERS",8,2010-08-29,6.75,"17584","United Kingdom",54,5542,"Aug",35,2010,29,"Sunday"
"4959",4959,490961,"20935","ROUND CACTUS CANDLE",24,2009-12-08,1.25,"14108","United Kingdom",30,5806,"Dec",49,2009,8,"Tuesday"
"4960",4960,537225,"22208","WOOD STAMP SET THANK YOU",5,2010-12-05,1.65,"12748","United Kingdom",8.25,5444,"Dec",49,2010,5,"Sunday"
"4961",4961,500664,"22371","AIRLINE BAG VINTAGE TOKYO 78",1,2010-03-09,6.35,"17841","United Kingdom",6.35,5715,"Mar",10,2010,9,"Tuesday"
"4962",4962,544470,"22607","WOODEN ROUNDERS GARDEN SET",8,2011-02-21,8.5,"12707","France",68,5366,"Feb",8,2011,21,"Monday"
"4963",4963,565416,"21989","PACK OF 20 SKULL PAPER NAPKINS",24,2011-09-04,0.85,"12710","Germany",20.4,5171,"Sep",36,2011,4,"Sunday"
"4964",4964,550324,"21231","SWEETHEART CERAMIC TRINKET BOX",24,2011-04-17,1.25,"12997","United Kingdom",30,5311,"Apr",16,2011,17,"Sunday"
"4965",4965,539581,"22423","REGENCY CAKESTAND 3 TIER",6,2010-12-20,12.75,"16143","United Kingdom",76.5,5429,"Dec",51,2010,20,"Monday"
"4966",4966,576463,"23497","CLASSIC CHROME BICYCLE BELL",1,2011-11-15,1.45,"17974","United Kingdom",1.45,5099,"Nov",46,2011,15,"Tuesday"
"4967",4967,527954,"21535","RED RETROSPOT SMALL MILK JUG",1,2010-10-19,2.55,"14030","United Kingdom",2.55,5491,"Oct",42,2010,19,"Tuesday"
"4968",4968,518769,"22469","HEART OF WICKER SMALL",3,2010-08-11,1.65,"14736","United Kingdom",4.95,5560,"Aug",32,2010,11,"Wednesday"
"4969",4969,571035,"22508","DOORSTOP RETROSPOT HEART",4,2011-10-13,3.75,"12446","RSA",15,5132,"Oct",41,2011,13,"Thursday"
"4970",4970,517632,"21773","DECORATIVE ROSE BATHROOM BOTTLE",12,2010-07-30,1.25,"17109","United Kingdom",15,5572,"Jul",31,2010,30,"Friday"
"4971",4971,523120,"21186","WHITE DOVE HONEYCOMB PAPER GARLAND",24,2010-09-20,1.65,"15803","United Kingdom",39.6,5520,"Sep",38,2010,20,"Monday"
"4972",4972,574239,"23168","CLASSIC CAFE SUGAR DISPENSER",12,2011-11-03,1.25,"14849","United Kingdom",15,5111,"Nov",44,2011,3,"Thursday"
"4973",4973,528705,"21843","RED RETROSPOT CAKE STAND",1,2010-10-24,10.95,"13137","United Kingdom",10.95,5486,"Oct",43,2010,24,"Sunday"
"4974",4974,519691,"84032B","CHARLIE + LOLA RED HOT WATER BOTTLE",1,2010-08-19,2.95,"17841","United Kingdom",2.95,5552,"Aug",33,2010,19,"Thursday"
"4975",4975,523650,"22086","PAPER CHAIN KIT 50'S CHRISTMAS",1,2010-09-23,2.95,"18107","United Kingdom",2.95,5517,"Sep",38,2010,23,"Thursday"
"4976",4976,556776,"23245","SET OF 3 REGENCY CAKE TINS",2,2011-06-14,4.95,"14730","United Kingdom",9.9,5253,"Jun",24,2011,14,"Tuesday"
"4977",4977,489816,"21622","VINTAGE UNION JACK CUSHION COVER",2,2009-12-02,4.95,"16086","United Kingdom",9.9,5812,"Dec",48,2009,2,"Wednesday"
"4978",4978,515338,"20677","PINK SPOTTY BOWL",8,2010-07-11,1.25,"15544","United Kingdom",10,5591,"Jul",28,2010,11,"Sunday"
"4979",4979,552189,"21830","ASSORTED CREEPY CRAWLIES",24,2011-05-06,0.42,"12748","United Kingdom",10.08,5292,"May",18,2011,6,"Friday"
"4980",4980,580611,"23206","LUNCH BAG APPLE DESIGN",2,2011-12-05,1.65,"12748","United Kingdom",3.3,5079,"Dec",49,2011,5,"Monday"
"4981",4981,543836,"22965","3 TRADITIONAl BISCUIT CUTTERS  SET",6,2011-02-14,2.1,"15236","United Kingdom",12.6,5373,"Feb",7,2011,14,"Monday"
"4982",4982,576593,"23325","RUSTIC STRAWBERRY JAM POT SMALL",6,2011-11-15,1.65,"15720","United Kingdom",9.9,5099,"Nov",46,2011,15,"Tuesday"
"4983",4983,561363,"21242","RED RETROSPOT PLATE",2,2011-07-26,1.69,"17238","United Kingdom",3.38,5211,"Jul",30,2011,26,"Tuesday"
"4984",4984,549679,"22771","CLEAR DRAWER KNOB ACRYLIC EDWARDIAN",24,2011-04-11,1.25,"16407","United Kingdom",30,5317,"Apr",15,2011,11,"Monday"
"4985",4985,522053,"21240","BLUE  SPOTTY CUP",8,2010-09-10,0.85,"13999","United Kingdom",6.8,5530,"Sep",37,2010,10,"Friday"
"4986",4986,567579,"84879","ASSORTED COLOUR BIRD ORNAMENT",16,2011-09-21,1.69,"18228","United Kingdom",27.04,5154,"Sep",38,2011,21,"Wednesday"
"4987",4987,546171,"21135","VICTORIAN  METAL POSTCARD SPRING",8,2011-03-10,1.69,"16359","United Kingdom",13.52,5349,"Mar",10,2011,10,"Thursday"
"4988",4988,502875,"22359","GLASS JAR, KINGS CHOICE SOAP",4,2010-03-29,2.95,"13319","United Kingdom",11.8,5695,"Mar",13,2010,29,"Monday"
"4989",4989,514036,"22528","GARDENERS KNEELING PAD",24,2010-06-30,1.25,"15615","United Kingdom",30,5602,"Jun",26,2010,30,"Wednesday"
"4990",4990,532297,"22943","CHRISTMAS LIGHTS 10 VINTAGE BAUBLES",2,2010-11-11,4.95,"13979","United Kingdom",9.9,5468,"Nov",45,2010,11,"Thursday"
"4991",4991,578508,"22780","LIGHT GARLAND BUTTERFILES PINK",4,2011-11-24,4.25,"16892","United Kingdom",17,5090,"Nov",47,2011,24,"Thursday"
"4992",4992,561867,"23204","CHARLOTTE BAG APPLES DESIGN",3,2011-07-31,0.85,"16931","United Kingdom",2.55,5206,"Jul",31,2011,31,"Sunday"
"4993",4993,529899,"22644","CERAMIC CHERRY CAKE MONEY BANK",4,2010-10-31,1.45,"15535","United Kingdom",5.8,5479,"Oct",44,2010,31,"Sunday"
"4994",4994,578479,"23157","SET OF 6 NATIVITY MAGNETS",1,2011-11-24,2.08,"15858","United Kingdom",2.08,5090,"Nov",47,2011,24,"Thursday"
"4995",4995,569799,"23240","SET OF 4 KNICK KNACK TINS DOILY",6,2011-10-06,4.15,"13602","United Kingdom",24.9,5139,"Oct",40,2011,6,"Thursday"
"4996",4996,572521,"22601","CHRISTMAS RETROSPOT ANGEL WOOD",12,2011-10-24,0.85,"15844","United Kingdom",10.2,5121,"Oct",43,2011,24,"Monday"
"4997",4997,516768,"21977","PACK OF 60 PINK PAISLEY CAKE CASES",24,2010-07-22,0.55,"16588","United Kingdom",13.2,5580,"Jul",29,2010,22,"Thursday"
"4998",4998,508366,"21034","REX CASH+CARRY JUMBO SHOPPER",1,2010-05-14,0.95,"12748","United Kingdom",0.95,5649,"May",20,2010,14,"Friday"
"4999",4999,555266,"22423","REGENCY CAKESTAND 3 TIER",4,2011-06-01,12.75,"15611","United Kingdom",51,5266,"Jun",22,2011,1,"Wednesday"
"5000",5000,569472,"22907","PACK OF 20 NAPKINS PANTRY DESIGN",1,2011-10-04,0.85,"14515","United Kingdom",0.85,5141,"Oct",40,2011,4,"Tuesday"
"5001",5001,540469,"21358","TOAST ITS - HAPPY BIRTHDAY",3,2011-01-07,1.25,"12484","Spain",3.75,5411,"Jan",1,2011,7,"Friday"
"5002",5002,576071,"23569","TRADTIONAL ALPHABET STAMP SET",1,2011-11-13,4.95,"18069","United Kingdom",4.95,5101,"Nov",46,2011,13,"Sunday"
"5003",5003,520860,"21499","BLUE SPOTS  WRAP",25,2010-08-31,0.42,"12540","Spain",10.5,5540,"Aug",35,2010,31,"Tuesday"
"5004",5004,569653,"23109","PACK OF SIX LED TEA LIGHTS",6,2011-10-05,2.89,"12451","Switzerland",17.34,5140,"Oct",40,2011,5,"Wednesday"
"5005",5005,529818,"21244","BLUE POLKADOT PLATE",1,2010-10-31,1.69,"14087","United Kingdom",1.69,5479,"Oct",44,2010,31,"Sunday"
"5006",5006,561860,"84625C","BLUE NEW BAROQUE CANDLESTICK CANDLE",24,2011-07-29,0.85,"17997","United Kingdom",20.4,5208,"Jul",30,2011,29,"Friday"
"5007",5007,559547,"20712","JUMBO BAG WOODLAND ANIMALS",2,2011-07-10,2.08,"17758","United Kingdom",4.16,5227,"Jul",28,2011,10,"Sunday"
"5008",5008,556977,"21212","PACK OF 72 RETROSPOT CAKE CASES",24,2011-06-16,0.55,"17446","United Kingdom",13.2,5251,"Jun",24,2011,16,"Thursday"
"5009",5009,543170,"22561","WOODEN SCHOOL COLOURING SET",24,2011-02-04,1.65,"17334","United Kingdom",39.6,5383,"Feb",5,2011,4,"Friday"
"5010",5010,562558,"22245","HOOK, 1 HANGER ,MAGIC GARDEN",6,2011-08-05,0.85,"13451","United Kingdom",5.1,5201,"Aug",31,2011,5,"Friday"
"5011",5011,547520,"22383","LUNCH BAG SUKI DESIGN",10,2011-03-23,1.65,"12564","France",16.5,5336,"Mar",12,2011,23,"Wednesday"
"5012",5012,577511,"23103","JINGLE BELL HEART DECORATION",3,2011-11-20,1.65,"17561","United Kingdom",4.95,5094,"Nov",47,2011,20,"Sunday"
"5013",5013,513054,"21672","WHITE SPOT RED CERAMIC DRAWER KNOB",12,2010-06-21,1.25,"13993","United Kingdom",15,5611,"Jun",25,2010,21,"Monday"
"5014",5014,558642,"85175","CACTI T-LIGHT CANDLES",32,2011-07-01,0.42,"17667","United Kingdom",13.44,5236,"Jul",26,2011,1,"Friday"
"5015",5015,544073,"22960","JAM MAKING SET WITH JARS",48,2011-02-15,3.75,"14935","Channel Islands",180,5372,"Feb",7,2011,15,"Tuesday"
"5016",5016,532382,"22847","BREAD BIN DINER STYLE IVORY",1,2010-11-11,16.95,"16081","United Kingdom",16.95,5468,"Nov",45,2010,11,"Thursday"
"5017",5017,548707,"21257","VICTORIAN SEWING BOX MEDIUM",2,2011-04-03,7.95,"13781","United Kingdom",15.9,5325,"Apr",14,2011,3,"Sunday"
"5018",5018,543300,"37413","ICON MUG REVOLUTIONARY",6,2011-02-07,1.25,"13334","United Kingdom",7.5,5380,"Feb",6,2011,7,"Monday"
"5019",5019,552881,"23172","REGENCY TEA PLATE PINK",12,2011-05-12,1.65,"18245","United Kingdom",19.8,5286,"May",19,2011,12,"Thursday"
"5020",5020,519458,"84598","BOYS ALPHABET IRON ON PATCHES",288,2010-08-17,0.21,"17381","United Kingdom",60.48,5554,"Aug",33,2010,17,"Tuesday"
"5021",5021,503955,"21876","POTTERING MUG",72,2010-04-08,1.06,"13694","United Kingdom",76.32,5685,"Apr",14,2010,8,"Thursday"
"5022",5022,572670,"22065","CHRISTMAS PUDDING TRINKET POT",1200,2011-10-25,0.39,"13685","United Kingdom",468,5120,"Oct",43,2011,25,"Tuesday"
"5023",5023,553915,"21907","I'M ON HOLIDAY METAL SIGN",12,2011-05-19,2.1,"18225","United Kingdom",25.2,5279,"May",20,2011,19,"Thursday"
"5024",5024,509165,"22082","RIBBON REEL STRIPES DESIGN",10,2010-05-20,1.65,"15559","United Kingdom",16.5,5643,"May",20,2010,20,"Thursday"
"5025",5025,520539,"22440","BALLOON WATER BOMB PACK OF 35",10,2010-08-26,0.42,"14544","United Kingdom",4.2,5545,"Aug",34,2010,26,"Thursday"
"5026",5026,558993,"47503A","ASS FLORAL PRINT MULTI SCREWDRIVER",12,2011-07-05,0.42,"16729","United Kingdom",5.04,5232,"Jul",27,2011,5,"Tuesday"
"5027",5027,520871,"21181","PLEASE ONE PERSON METAL SIGN",12,2010-08-31,2.1,"13715","United Kingdom",25.2,5540,"Aug",35,2010,31,"Tuesday"
"5028",5028,507750,"21034","REX CASH+CARRY JUMBO SHOPPER",1,2010-05-11,0.95,"16419","United Kingdom",0.95,5652,"May",19,2010,11,"Tuesday"
"5029",5029,534652,"21485","RETROSPOT HEART HOT WATER BOTTLE",1,2010-11-23,4.95,"14170","United Kingdom",4.95,5456,"Nov",47,2010,23,"Tuesday"
"5030",5030,563250,"23328","SET 6 SCHOOL MILK BOTTLES IN CRATE",4,2011-08-15,3.75,"15624","United Kingdom",15,5191,"Aug",33,2011,15,"Monday"
"5031",5031,561690,"22383","LUNCH BAG SUKI DESIGN",10,2011-07-29,1.65,"13875","United Kingdom",16.5,5208,"Jul",30,2011,29,"Friday"
"5032",5032,514514,"21158","MOODY GIRL DOOR HANGER",1,2010-07-04,1.45,"15976","United Kingdom",1.45,5598,"Jul",27,2010,4,"Sunday"
"5033",5033,539920,"22840","ROUND CAKE TIN VINTAGE RED",2,2010-12-23,7.95,"14085","United Kingdom",15.9,5426,"Dec",51,2010,23,"Thursday"
"5034",5034,569246,"22759","SET OF 3 NOTEBOOKS IN PARCEL",5,2011-10-03,3.29,"14096","United Kingdom",16.45,5142,"Oct",40,2011,3,"Monday"
"5035",5035,569026,"22326","ROUND SNACK BOXES SET OF4 WOODLAND",6,2011-09-30,2.95,"16101","United Kingdom",17.7,5145,"Sep",39,2011,30,"Friday"
"5036",5036,563638,"84997D","CHILDRENS CUTLERY POLKADOT PINK",2,2011-08-18,4.15,"15311","United Kingdom",8.3,5188,"Aug",33,2011,18,"Thursday"
"5037",5037,547561,"22148","EASTER CRAFT 4 CHICKS",12,2011-03-24,1.95,"14129","United Kingdom",23.4,5335,"Mar",12,2011,24,"Thursday"
"5038",5038,492684,"48188","DOOR MAT WELCOME PUPPIES",2,2009-12-17,6.75,"16351","United Kingdom",13.5,5797,"Dec",51,2009,17,"Thursday"
"5039",5039,494040,"20727","LUNCH BAG  BLACK SKULL.",1,2010-01-11,1.65,"18115","United Kingdom",1.65,5772,"Jan",2,2010,11,"Monday"
"5040",5040,518351,"22659","LUNCH BOX I LOVE LONDON",2,2010-08-06,1.95,"17377","United Kingdom",3.9,5565,"Aug",32,2010,6,"Friday"
"5041",5041,510675,"21904","HOUSE WRECKING METAL SIGN",1,2010-06-02,2.1,"17841","United Kingdom",2.1,5630,"Jun",22,2010,2,"Wednesday"
"5042",5042,508068,"21314","SMALL GLASS HEART TRINKET POT",24,2010-05-12,2.1,"13756","United Kingdom",50.4,5651,"May",19,2010,12,"Wednesday"
"5043",5043,557995,"21987","PACK OF 6 SKULL PAPER CUPS",2,2011-06-24,0.65,"17979","United Kingdom",1.3,5243,"Jun",25,2011,24,"Friday"
"5044",5044,519215,"22668","PINK BABY BUNTING",5,2010-08-15,2.95,"16841","United Kingdom",14.75,5556,"Aug",33,2010,15,"Sunday"
"5045",5045,581134,"22228","BUNNY WOODEN PAINTED WITH BIRD",3,2011-12-07,0.39,"16368","United Kingdom",1.17,5077,"Dec",49,2011,7,"Wednesday"
"5046",5046,566451,"22335","HEART DECORATION PAINTED ZINC",2,2011-09-12,0.65,"18069","United Kingdom",1.3,5163,"Sep",37,2011,12,"Monday"
"5047",5047,530139,"35004G","SET OF 3 GOLD FLYING DUCKS",12,2010-11-01,1.95,"14426","United Kingdom",23.4,5478,"Nov",44,2010,1,"Monday"
"5048",5048,511761,"22424","ENAMEL BREAD BIN CREAM",2,2010-06-10,12.75,"17663","United Kingdom",25.5,5622,"Jun",23,2010,10,"Thursday"
"5049",5049,531350,"21849","SILVER DIAMANTE PEN IN GIFT BOX",1,2010-11-07,4.95,"12748","United Kingdom",4.95,5472,"Nov",45,2010,7,"Sunday"
"5050",5050,558367,"23245","SET OF 3 REGENCY CAKE TINS",2,2011-06-28,4.95,"16550","United Kingdom",9.9,5239,"Jun",26,2011,28,"Tuesday"
"5051",5051,531507,"21181","PLEASE ONE PERSON METAL SIGN",1,2010-11-08,2.1,"16018","United Kingdom",2.1,5471,"Nov",45,2010,8,"Monday"
"5052",5052,562516,"23078","ICE CREAM PEN LIP GLOSS",24,2011-08-05,1.25,"15129","United Kingdom",30,5201,"Aug",31,2011,5,"Friday"
"5053",5053,553860,"37450","CERAMIC CAKE BOWL + HANGING CAKES",1,2011-05-19,2.95,"17841","United Kingdom",2.95,5279,"May",20,2011,19,"Thursday"
"5054",5054,575036,"23583","LUNCH BAG PAISLEY PARK",10,2011-11-08,1.65,"15249","United Kingdom",16.5,5106,"Nov",45,2011,8,"Tuesday"
"5055",5055,530951,"16169C","WRAP BLUE REINDEER",50,2010-11-04,0.42,"15521","United Kingdom",21,5475,"Nov",44,2010,4,"Thursday"
"5056",5056,575706,"47591D","PINK FAIRY CAKE CHILDRENS APRON",2,2011-11-10,1.95,"14713","United Kingdom",3.9,5104,"Nov",45,2011,10,"Thursday"
